ts_utc,open,high,low,close,volume
2025-07-15 15:56:00+02:00,1.16415,1.16431,1.16408,1.16414,250
2025-07-15 15:57:00+02:00,1.16413,1.16434,1.16386,1.16421,406
2025-07-15 15:58:00+02:00,1.16419,1.16429,1.16402,1.1642,356
2025-07-15 15:59:00+02:00,1.1642,1.16432,1.1641,1.16432,294
2025-07-15 16:00:00+02:00,1.16432,1.16442,1.1634,1.1634,560
2025-07-15 16:01:00+02:00,1.16342,1.16346,1.16316,1.16336,500
2025-07-15 16:02:00+02:00,1.16338,1.16343,1.16276,1.16316,437
2025-07-15 16:03:00+02:00,1.16314,1.16335,1.16304,1.1633,413
2025-07-15 16:04:00+02:00,1.16328,1.16332,1.16307,1.16312,392
2025-07-15 16:05:00+02:00,1.16313,1.16348,1.16304,1.16334,358
2025-07-15 16:06:00+02:00,1.16333,1.16405,1.16328,1.16397,554
2025-07-15 16:07:00+02:00,1.16398,1.16398,1.16353,1.16354,384
2025-07-15 16:08:00+02:00,1.16354,1.16355,1.16295,1.16346,436
2025-07-15 16:09:00+02:00,1.16345,1.16367,1.1634,1.16344,347
2025-07-15 16:10:00+02:00,1.16344,1.16347,1.16305,1.16319,342
2025-07-15 16:11:00+02:00,1.1632,1.16356,1.16318,1.1634,301
2025-07-15 16:12:00+02:00,1.1634,1.16346,1.16289,1.16302,277
2025-07-15 16:13:00+02:00,1.16301,1.16336,1.16295,1.1632,268
2025-07-15 16:14:00+02:00,1.16322,1.16366,1.16315,1.16357,315
2025-07-15 16:15:00+02:00,1.16359,1.1637,1.16342,1.16361,268
2025-07-15 16:16:00+02:00,1.16358,1.16367,1.1634,1.16362,291
2025-07-15 16:17:00+02:00,1.16358,1.16364,1.1633,1.1635,346
2025-07-15 16:18:00+02:00,1.1635,1.16356,1.16323,1.16353,234
2025-07-15 16:19:00+02:00,1.16354,1.16361,1.16333,1.16348,282
2025-07-15 16:20:00+02:00,1.16346,1.16347,1.16307,1.16334,245
2025-07-15 16:21:00+02:00,1.16335,1.16342,1.16316,1.16316,307
2025-07-15 16:22:00+02:00,1.16315,1.16326,1.16274,1.16281,302
2025-07-15 16:23:00+02:00,1.1628,1.16282,1.16232,1.1627,512
2025-07-15 16:24:00+02:00,1.1627,1.1627,1.16238,1.16244,362
2025-07-15 16:25:00+02:00,1.16243,1.16267,1.16242,1.1626,315
2025-07-15 16:26:00+02:00,1.1626,1.16262,1.16227,1.16232,382
2025-07-15 16:27:00+02:00,1.1623,1.16244,1.16218,1.16228,301
2025-07-15 16:28:00+02:00,1.16226,1.16237,1.16223,1.16237,273
